ID,Checker,Type,Impact,File,Line,Function,Classification,Merge key,CID,Disposition Comment,Defect Status
109,OVERRUN,Out-of-bounds read,High,/ats_core_common/DL_ATN_App_VOB/ADSC/ReportMgr/src/ADSC_Event_Cntrt_Rpt.c,1063,"fnadsc_rptmgr_send_ec_report(unsigned int, unsigned int, unsigned int const *)",Unclassified,25a8814c4672b743e51e6697cecb9b87,Unavailable,"fnadsc_rptmgr_gen_basic_data at line 1063 receives ui_conn_index as parameter. If ui_conn_index carries the off-by-one value allowed by the upstream <= MAX check, the function reads gs_ec_rpt_tbl out-of-bounds.
Proposed Fix: Add if (ui_conn_index < MAX_NUM_ADS_CONNECTIONS) wrapping the call at line 1063.",True Positive
110,OVERRUN,Out-of-bounds access,High,/ats_core_common/DL_ATN_App_VOB/DSIUser/src/DSIUsrPrmtvProc.cpp,706,"DSIUsrPrmtvProc::fnParseDEndCnf(unsigned char *, unsigned char *, unsigned char *, DSIUserDataParams *, DSIPrimitive *)",Unclassified,67af4265c431d6a87281218cdbafd2c3,Unavailable,"The output buffer in fnParseDEndCnf() is zeroed before the call at line 706, dwVarOffset is initialized to 0 and the access is within the DSIPrimitive structure own data field bounds, same pattern as fnParseDDataInd().",False Positive
111,OVERRUN,Out-of-bounds access,High,/ats_core_common/DL_FANS_App_VOB/ADS/ADS_Uplink_Processing/src/Ads_Uplnk_Proc_Connection_Processing.cpp,122,Ads_ulp::connection_processing(),Unclassified,28dad02de20dfc0f44d98d4505fe2e78,Unavailable,"connection index used in Ads_ulp::connection_processing() comes from a validated connection table entry. The loop processes only active connections, so the index always remains within the g_st_atc_conn_tbl[MAX_ATC_CONN] array bounds.",False Positive
112,OVERRUN,Out-of-bounds access,High,/ats_core_common/DL_ATN_App_VOB/DSIUser/src/DSIUsrPrmtvProc.cpp,771,"DSIUsrPrmtvProc::fnParseDAbortInd(unsigned char *, unsigned char *, unsigned char *, unsigned char *, DSIUserDataParams *, DSIPrimitive *)",Unclassified,e9feaef26620c591451383c449af5407,Unavailable,"The output buffer in fnParseDAbortInd() is zeroed before the call at line 771, dwVarOffset is initialized to 0 and the access is within the bounds of the DSIPrimitive structure own data field.",False Positive
113,OVERRUN,Out-of-bounds access,High,/ats_core_common/DL_FANS_App_VOB/FANS_ATC/AFN/src/AFN_C_Downlink.cpp,1318,afn_construct_response_msg(),Unclassified,cc4f7d06e89d1c271760acace21ba8f9,Unavailable,"g_st_afn_dlqm_buffer is initialized before afn_construct_response_msg() is called. ui_index is updated using bounded field lengths, so the message length remains within the buffer limits before line 1318.",False Positive
114,OVERRUN,Out-of-bounds access,High,/ats_core_common/DL_ATN_App_VOB/ADSC/EncoderDecoder/src/ADSC_Encoder.c,1286,"fnadsc_dmp_encoder_reject_msg(ADSReject *, unsigned char, unsigned char, unsigned char, DSIIcaoAddrParams *, Request_Type_enum)",Unclassified,922d3eb05b7d86c012a7688d0744e211,Unavailable,"memcpy at line 1286 copies data_len bytes into ADSC_rjct_pdu.ic_reject.aDSMessage.data. A fault is reported at line 1282 if data_len > maxADSCMessageSizeInBytes, but the code proceeds to memcpy anyway after reporting the fault.
Proposed Fix: Invert the condition — move memcpy inside an if (data_len <= maxADSCMessageSizeInBytes) block and the fault report into the else, so the copy only executes when the size is safe",True Positive
115,OVERRUN,Out-of-bounds access,High,/ats_core_common/DL_ATN_App_VOB/ADSC/EncoderDecoder/src/ADSC_Encoder.c,1286,"fnadsc_dmp_encoder_reject_msg(ADSReject *, unsigned char, unsigned char, unsigned char, DSIIcaoAddrParams *, Request_Type_enum)",Unclassified,ddd0a485bbc9309be24b5062da7b0581,Unavailable,"Same memcpy as ID 114. ADSC_encoded_downlink_msg.numbits is assigned to aDSMessage.numbits at line 1287 without verifying it fits the data field. Both data and numbits may exceed the destination structure's capacity.
Proposed Fix: Invert the condition — move memcpy inside an if (data_len <= maxADSCMessageSizeInBytes) block and the fault report into the else, so the copy only executes when the size is safe",True Positive
116,OVERRUN,Out-of-bounds write,High,/ats_core_common/DL_FANS_App_VOB/FANS_ATC/AFN/src/AFN_C_Downlink.cpp,757,afn_construct_afn_msg_header(unsigned int *),Unclassified,aa588a52798601bf8dae9458ce7b646d,Unavailable,"g_st_afn_dlqm_buffer is initialized before afn_construct_afn_msg_header() is called. *ui_index is updated using fixed and bounded field lengths, so the write at line 757 remains within the buffer limits",False Positive
117,OVERRUN,Out-of-bounds read,High,/ats_core_common/DL_FANS_App_VOB/FANS_ATC/AFN/src/AFN_C_Downlink.cpp,1015,afn_construct_contact_msg(),Unclassified,f6860cd53f6afa199666ea9117f88246,Unavailable,"g_st_afn_dlqm_buffer is initialized before afn_construct_contact_msg() is called. ui_index is updated using bounded field lengths, so the access at line 1015 remains within the buffer limits.",False Positive
118,OVERRUN,Out-of-bounds access,High,/ats_core_common/DL_FANS_App_VOB/ACF/src/ACF_C_ACARS_Convergence_Func.cpp,1349,"acf_boa_downlink_msg_processing(dlqm_to_acf_buffer_type const *, acf_downlink_data_type *)",Unclassified,08832bd605dc9ca84b6a844ce6847b8a,Unavailable,"acf_boa_downlink_msg_processing() copies data at line 1349 into a fixed-size output buffer using the ACARS message size constant as count, both source dlqm_to_acf_buffer_type and destination have matching fixed-size declarations.so the copy remains within buffer bounds.",False Positive
